Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,12.831,13.094,12.594,12.936,9609900,0.0,0.0
2021-01-05,13.015,14.653,13.015,14.171,15103100,0.0,0.0
2021-01-06,14.364,14.959,13.742,14.749,13579100,0.0,0.0
2021-01-07,14.889,15.327,14.653,14.986,8578200,0.0,0.0
2021-01-08,15.204,15.283,14.276,14.521,7760600,0.0,0.0
2021-01-11,13.97,14.67,13.829,14.591,6484000,0.0,0.0
2021-01-12,14.95,16.247,14.81,16.229,11540300,0.0,0.0
2021-01-13,16.203,16.229,15.493,15.59,7303300,0.0,0.0
2021-01-14,16.098,16.921,15.993,16.072,11194900,0.0,0.0
2021-01-15,15.791,15.791,14.994,15.126,8919000,0.0,0.0
2021-01-19,15.783,15.861,15.388,15.607,7088100,0.0,0.0
2021-01-20,15.765,15.94,15.047,15.301,7111800,0.0,0.0
2021-01-21,15.165,15.349,14.147,14.595,10325200,0.025,0.0
2021-01-22,14.121,14.419,13.805,14.367,8273800,0.0,0.0
2021-01-25,14.191,14.191,13.428,13.797,9155500,0.0,0.0
2021-01-26,14.183,14.568,13.411,13.419,8334100,0.0,0.0
2021-01-27,13.174,14.016,12.762,12.805,12474800,0.0,0.0
2021-01-28,13.156,13.516,12.832,13.104,8292700,0.0,0.0
2021-01-29,12.998,13.542,12.306,12.525,11384700,0.0,0.0
2021-02-01,12.998,13.481,12.779,13.262,10580300,0.0,0.0
2021-02-02,13.858,14.393,13.63,13.647,12371600,0.0,0.0
2021-02-03,13.911,14.656,13.779,14.411,9494000,0.0,0.0
2021-02-04,14.516,14.577,13.814,14.314,9448100,0.0,0.0
2021-02-05,14.577,14.779,14.112,14.226,7742700,0.0,0.0
2021-02-08,14.525,15.709,14.472,15.647,10826300,0.0,0.0
2021-02-09,15.481,15.481,14.989,15.112,7619900,0.0,0.0
2021-02-10,15.27,15.779,15.077,15.446,8233600,0.0,0.0
2021-02-11,15.244,15.402,14.411,14.893,7671400,0.0,0.0
2021-02-12,14.656,15.384,14.507,15.332,6788400,0.0,0.0
2021-02-16,15.945,16.7,15.735,16.296,12008700,0.0,0.0
2021-02-17,16.524,16.717,15.989,16.393,9434100,0.0,0.0
2021-02-18,16.191,16.252,15.437,15.463,7963400,0.0,0.0
2021-02-19,15.472,16.042,15.296,15.805,7340000,0.0,0.0
2021-02-22,16.095,17.191,15.972,16.735,9793800,0.0,0.0
2021-02-23,16.893,17.41,15.463,17.322,10431400,0.0,0.0
2021-02-24,17.331,18.375,17.059,18.252,10985000,0.0,0.0
2021-02-25,18.857,19.199,17.542,17.656,11286600,0.0,0.0
2021-02-26,17.419,17.638,16.34,17.305,9259600,0.0,0.0
2021-03-01,17.612,17.84,17.042,17.121,10287300,0.0,0.0
2021-03-02,16.84,17.875,16.796,17.103,7414900,0.0,0.0
2021-03-03,17.314,18.059,17.296,17.463,7557200,0.0,0.0
2021-03-04,17.875,18.928,17.524,18.401,13253200,0.0,0.0
2021-03-05,19.384,20.436,18.436,20.392,13114600,0.0,0.0
2021-03-08,20.699,20.919,19.726,20.322,8328800,0.0,0.0
2021-03-09,20.006,20.182,18.919,18.945,9781400,0.0,0.0
2021-03-10,19.077,19.173,18.489,18.971,9020800,0.0,0.0
2021-03-11,19.392,19.471,18.998,19.199,7357100,0.0,0.0
2021-03-12,19.384,19.419,18.401,18.621,7688300,0.0,0.0
2021-03-15,18.673,18.901,18.322,18.884,6558100,0.0,0.0
2021-03-16,18.419,18.796,18.164,18.2,7563200,0.0,0.0
2021-03-17,17.989,18.515,17.612,18.41,8201300,0.0,0.0
2021-03-18,18.129,18.191,16.77,16.875,9486700,0.0,0.0
2021-03-19,16.831,17.445,16.516,17.086,13697100,0.0,0.0
2021-03-22,16.998,17.042,16.463,16.542,6599900,0.0,0.0
2021-03-23,15.981,16.638,15.7,16.024,7285900,0.0,0.0
2021-03-24,16.437,16.866,16.261,16.296,7241800,0.0,0.0
2021-03-25,15.735,16.156,15.305,16.086,8270300,0.0,0.0
2021-03-26,16.577,16.673,15.788,16.48,9273300,0.0,0.0
2021-03-29,16.182,16.288,15.481,15.753,7505500,0.0,0.0
2021-03-30,15.419,15.77,14.998,15.638,6172500,0.0,0.0
2021-03-31,15.507,15.849,15.41,15.7,5195400,0.0,0.0
2021-04-01,16.007,16.595,15.735,16.533,10303900,0.0,0.0
