Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,13.182,13.182,12.745,12.952,8488000,0.0,0.0
2021-01-05,12.968,13.325,12.872,13.158,5927700,0.0,0.0
2021-01-06,13.723,14.558,13.596,14.439,16270000,0.0,0.0
2021-01-07,14.701,14.955,14.669,14.701,8182400,0.0,0.0
2021-01-08,14.669,14.685,14.248,14.502,6472500,0.0,0.0
2021-01-11,14.311,14.709,14.16,14.693,5397900,0.0,0.0
2021-01-12,14.82,15.075,14.693,14.979,6267600,0.0,0.0
2021-01-13,14.868,15.011,14.725,14.939,5640300,0.0,0.0
2021-01-14,15.067,15.281,14.979,15.051,9962800,0.0,0.0
2021-01-15,14.741,14.9,14.47,14.637,11254100,0.0,0.0
2021-01-19,14.717,14.772,14.526,14.749,5676500,0.0,0.0
2021-01-20,14.661,14.693,14.399,14.542,5875400,0.0,0.0
2021-01-21,14.55,15.011,14.399,14.431,11935000,0.0,0.0
2021-01-22,14.287,14.582,14.192,14.47,5855800,0.0,0.0
2021-01-25,14.327,14.327,13.89,14.136,9622400,0.0,0.0
2021-01-26,14.303,14.375,13.874,13.882,8245100,0.0,0.0
2021-01-27,13.548,13.635,13.27,13.294,11048800,0.0,0.0
2021-01-28,13.572,13.858,13.445,13.771,9009200,0.0,0.0
2021-01-29,13.691,13.866,13.31,13.405,9279700,0.0,0.0
2021-02-01,13.532,13.683,13.389,13.643,6595500,0.0,0.0
2021-02-02,13.874,14.216,13.818,14.049,6574600,0.0,0.0
2021-02-03,14.073,14.375,14.057,14.367,7839500,0.0,0.0
2021-02-04,14.431,15.035,14.431,14.876,8881000,0.0,0.0
2021-02-05,15.043,15.114,14.733,14.764,5407800,0.0,0.0
2021-02-08,14.788,15.043,14.78,15.043,4407400,0.0,0.0
2021-02-09,14.971,15.09,14.868,15.059,5278200,0.0,0.0
2021-02-10,15.13,15.281,15.019,15.075,6086300,0.0,0.0
2021-02-11,15.035,15.146,14.669,14.971,4505600,0.0,0.0
2021-02-12,14.995,15.281,14.924,15.162,4066400,0.0,0.0
2021-02-16,15.408,15.798,15.337,15.734,7520600,0.0,0.0
2021-02-17,15.679,15.854,15.488,15.679,6683700,0.0,0.0
2021-02-18,15.52,15.591,15.281,15.488,6315100,0.0,0.0
2021-02-19,15.591,16.1,15.591,16.021,8467000,0.0,0.0
2021-02-22,15.981,16.41,15.981,16.291,7448300,0.0,0.0
2021-02-23,16.482,16.561,16.172,16.498,7514300,0.0,0.0
2021-02-24,16.617,17.142,16.577,17.126,9459200,0.0,0.0
2021-02-25,17.301,17.341,16.363,16.442,9252400,0.0,0.0
2021-02-26,16.235,16.402,15.87,16.013,9586300,0.0,0.0
2021-03-01,16.386,16.747,16.338,16.643,6481900,0.185,0.0
2021-03-02,16.554,16.755,16.522,16.57,5746900,0.0,0.0
2021-03-03,16.683,17.156,16.546,16.562,7689500,0.0,0.0
2021-03-04,16.498,16.755,15.848,16.241,9735400,0.0,0.0
2021-03-05,16.707,16.787,15.928,16.578,12799900,0.0,0.0
2021-03-08,16.835,17.293,16.643,17.028,12809200,0.0,0.0
2021-03-09,16.747,16.771,16.209,16.418,10897700,0.0,0.0
2021-03-10,16.426,16.98,16.362,16.98,11770700,0.0,0.0
2021-03-11,16.819,17.06,16.739,16.932,7386200,0.0,0.0
2021-03-12,17.196,17.317,16.972,17.084,9054400,0.0,0.0
2021-03-15,17.052,17.14,16.506,16.747,13783100,0.0,0.0
2021-03-16,16.691,16.691,16.177,16.298,16128200,0.0,0.0
2021-03-17,16.586,16.715,16.193,16.354,11510900,0.0,0.0
2021-03-18,16.667,17.14,16.514,16.627,13549500,0.0,0.0
2021-03-19,16.378,16.595,16.057,16.362,34834600,0.0,0.0
2021-03-22,16.29,16.322,15.792,15.985,10595600,0.0,0.0
2021-03-23,15.784,15.937,15.439,15.455,12764400,0.0,0.0
2021-03-24,15.768,15.993,15.447,15.455,10270800,0.0,0.0
2021-03-25,15.367,16.057,15.246,15.961,13003800,0.0,0.0
2021-03-26,16.209,16.322,15.904,16.169,11749000,0.0,0.0
2021-03-29,15.92,15.953,15.415,15.632,12310800,0.0,0.0
2021-03-30,15.816,16.217,15.816,16.121,10257900,0.0,0.0
2021-03-31,16.105,16.298,15.985,16.033,12576300,0.0,0.0
2021-04-01,15.985,16.314,15.937,16.266,9114000,0.0,0.0
2021-04-05,16.506,16.635,16.153,16.282,6661300,0.0,0.0
2021-04-06,16.225,16.362,16.065,16.306,6868300,0.0,0.0
2021-04-07,16.378,16.49,16.241,16.482,7573200,0.0,0.0
2021-04-08,16.241,16.362,15.977,16.314,9500600,0.0,0.0
2021-04-09,16.53,16.715,16.418,16.538,9630900,0.0,0.0
