Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,192.495,192.701,186.868,188.663,4055400,0.0,0.0
2021-01-05,188.627,190.215,188.124,189.794,2576100,0.0,0.0
2021-01-06,189.632,190.0,187.595,189.363,3083400,0.0,0.0
2021-01-07,191.355,191.355,188.968,190.242,3142000,0.0,0.0
2021-01-08,191.068,193.958,190.467,193.733,2639100,0.0,0.0
2021-01-11,193.033,193.958,191.266,192.262,2545400,0.0,0.0
2021-01-12,191.777,192.351,189.309,189.901,2952000,0.0,0.0
2021-01-13,189.282,191.274,189.273,190.341,2069800,0.0,0.0
2021-01-14,190.35,190.862,186.671,187.119,3666700,0.0,0.0
2021-01-15,186.644,189.094,186.15,188.385,3593700,0.0,0.0
2021-01-19,189.076,189.363,186.563,187.649,3331600,0.0,0.0
2021-01-20,188.6,192.423,188.133,191.723,4077700,0.0,0.0
2021-01-21,192.109,193.814,191.445,191.633,2674900,0.0,0.0
2021-01-22,190.718,192.181,189.515,191.499,2196400,0.0,0.0
2021-01-25,190.458,192.1,188.968,191.463,2615300,0.0,0.0
2021-01-26,190.718,193.41,190.413,193.294,2907800,0.0,0.0
2021-01-27,190.61,191.292,185.773,185.773,5464000,0.0,0.0
2021-01-28,187.236,188.789,184.095,185.612,5401600,0.0,0.0
2021-01-29,184.077,187.927,182.282,186.527,5203300,0.0,0.0
2021-02-01,187.101,188.187,185.414,186.608,2812500,0.0,0.0
2021-02-02,186.751,190.826,186.356,188.25,2786000,0.0,0.0
2021-02-03,186.985,188.456,186.608,187.308,3020700,0.0,0.0
2021-02-04,188.465,190.359,187.272,189.39,2777500,0.0,0.0
2021-02-05,190.79,192.217,190.269,190.781,2600200,0.0,0.0
2021-02-08,190.736,191.149,188.43,189.883,2696200,0.0,0.0
2021-02-09,190.323,194.012,190.054,193.832,3047300,0.0,0.0
2021-02-10,194.64,195.026,191.885,192.414,3161600,0.0,0.0
2021-02-11,192.54,192.773,190.619,192.298,2583600,0.0,0.0
2021-02-12,192.055,192.684,191.149,191.966,2781200,0.0,0.0
